image,caption
1001773457_577c3a7d70.jpg,Two dogs on pavement moving toward each other .
1003163366_44323f5815.jpg,man laying on bench holding leash of dog sitting on ground
1007129816_e794419615.jpg,The man with pierced ears is wearing glasses and an orange hat .
1007320043_627395c3d8.jpg,The small child climbs on a red ropes on a playground .
1009434119_febe49276a.jpg,A dog runs on the green grass near a wooden fence .
1012212859_01547e3f17.jpg,White dog with brown ears standing near water with head turned to one side .
101654506_8eb26cfb60.jpg,The white and brown dog is running over the surface of the snow .
101669240_b2d3e7f17b.jpg,Man on skis looking at artwork for sale in the snow
1016887272_03199f49c4.jpg,Several climbers in a row are climbing the rock while the man in red watches and holds the line .
1019077836_6fc9b15408.jpg,Large brown dog running away from the sprinkler in the grass .
1022454428_b6b660a67b.jpg,Couple with a baby sit outdoors next to their stroller .
1022975728_75515238d8.jpg,This is a black dog splashing in the water .
102351840_323e3de834.jpg,Two men are ice fishing .
1024138940_f1fefbdce1.jpg,Two large tan dogs play along a sandy beach .
1030985833_b0902ea560.jpg,The Chocolate Lab jumps too late to get the toy as the Black Lab captures it in the driveway .
103106960_e8a41d64f8.jpg,A young male kneeling in front of a hockey goal with a hockey stick in his right hand .
103195344_5d2dc613a3.jpg,The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .
103205630_682ca7285b.jpg,Two people standing outside a blue tent structure on a snowy surface .
104136873_5b5d41be75.jpg,Three people rest on a ledge above the moutains .
1042020065_fb3d3ba5ba.jpg,A young boy wearing a jersey looks down over a ledge at many boats in the water .
1048710776_bb5b0a5c7c.jpg,Several young people sitting on a rail above a crowded beach .
1052358063_eae6744153.jpg,Two skateboarders .
1053804096_ad278b25f1.jpg,A young girl in pigtails plays in the water .
1055623002_8195a43714.jpg,Four children are having a pillow fight .
1055753357_4fa3d8d693.jpg,Two men take a break from construction .
1056873310_49c665eb22.jpg,Two dogs run towards each other on a rocky area with water in the background .
1057210460_09c6f4c6c1.jpg,The man is putting on his shirt near an elevator .
106514190_bae200f463.jpg,A skier pauses on a mountaintop .
1067675215_7336a694d6.jpg,A shirtless man is laying down in the middle of a busy street .
107318069_e9f2ef32de.jpg,Seven large balloons are lined up at nighttime near a crowd .
1075867198_27ca2e7efe.jpg,Man at the beach with two dogs .
1077546505_a4f6c4daa9.jpg,A child is falling off a slide onto colored balloons floating on a pool of water .
1077931201_1e0bb83105.jpg,The man is in the pool and throwing a small boy into the air .
1084040636_97d9633581.jpg,A white dog rests its head on the patio bricks .
1087168168_70280d024a.jpg,Two young kids are playing in the water on an inflated toy .
1087539207_9f77ab3aaf.jpg,The four kids are riding on an ATV in a field .
1088767354_2acee738cf.jpg,Two young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress .
1089181217_ee1167f7af.jpg,Energetic brown dog running
1089755335_0bfbfd30e6.jpg,Woman with three children fishing over boardwalk in the evening .
109202756_b97fcdc62c.jpg,Woman n blue jacket sits on daft horse near a frozen lake .
109202801_c6381eef15.jpg,Two horses pulling a sled steered by a smiling blond woman .
109260218_fca831f933.jpg,Three rock climbers are posing on big rocks .
1093716555_801aacef79.jpg,The group of hikers is resting in front of a mountain .
1094462889_f9966dafa6.jpg,The brown dog is out in the snow .
1095476286_87d4f8664e.jpg,A young boy is jumping through water being sprayed up from the ground .
1096097967_ac305887b4.jpg,A white and black dog is jumping into a pool .
1096165011_cc5eb16aa6.jpg,The boys smiles underwater at the pool .
109671650_f7bbc297fa.jpg,Child stands near edge of cliff .
109823395_6fb423a90f.jpg,Man on an ATV catching air !
109823397_e35154645f.jpg,Man on four wheeler in the air .
1100214449_d10861e633.jpg,A little boy is playfully jumping off the side of a fountain .
1104133405_c04a00707f.jpg,Small boy carries a soccer ball on a field .
1105959054_9c3a738096.jpg,The child paints on a large paper with water colors .
1107471216_4336c9b328.jpg,There is a kid with a gun .
1112212364_0c48235fc2.jpg,Toddler sits on a pile of rocks .
111537222_07e56d5a30.jpg,Person with blue helmet and purple pants is rock climbing .
1115565519_d976d4b1f1.jpg,The little girl is playing with a toy in a public fountain .
1115679311_245eff2f4b.jpg,An animal is running on the beach .
111766423_4522d36e56.jpg,The small bird is clinging to a finger of the hand holding the seeds .
1117972841_2b9261f95f.jpg,A dog running fast in the sand .
1118557877_736f339752.jpg,A young child splashing in water .
112243673_fd68255217.jpg,Three people ride off-road bikes through a field surrounded by trees .
1124448967_2221af8dc5.jpg,Man relaxing in a folding chair on the street .
1130017585_1a219257ac.jpg,Three young women pose for the camera at a parade .
1130369873_d80a1aa59c.jpg,A brown dog swims through water outdoors with a tennis ball in its mouth .
1131155939_b4b457b05e.jpg,A dog is running in the waves at the beach .
1131804997_177c3c0640.jpg,Two older men with backpacks sit at a bus station .
1132772170_600610c5df.jpg,Man standing in the bedroom with little boy jumping into bed .
114051287_dd85625a04.jpg,A young boy gets out of the van and prepares his shoes for wear during a soccer game .
1141739219_2c47195e4c.jpg,Two women and four children standing next to a brightly painted truck .
1142283988_6b227c5231.jpg,Two people are hugging and one is wearing a pink-hooded stretch top .
1142847777_2a0c1c2551.jpg,A woman wearing a blue helmet rides her bicycle in a parking lot .
1143882946_1898d2eeb9.jpg,Women with bike and helmet wait for traffic .
1144288288_e5c9558b6a.jpg,A woman wearing a white hat and shirt is jogging down a street with a plant store on the corner .
1148238960_f8cacec2fc.jpg,three bikers stop in town .
1149179852_acad4d7300.jpg,The shirtless man is walking the Shetland pony and carriage down the street .
1153704539_542f7aa3a5.jpg,Girl wearing blue shirt and black shorts plays trumped outside .
1155138244_859fd6e079.jpg,Woman dressed in a green hat and apron is holding a try full of drink samples .
115684808_cb01227802.jpg,Three people in the snow put their gear in order .
1159574340_99ba8c3c59.jpg,The man takes a leap into the water with his shoes on .
1160441615_fe6b3c5277.jpg,Three women walk through a plant covered atrium hallway .
116409198_0fe0c94f3b.jpg,Young man in hooded jacket sitting on snow in mountain area .
1164131282_b30926f332.jpg,Two dogs wrestle in a field .
1167669558_87a8a467d6.jpg,This man is smiling very big at the camera .
1167908324_8caab45e15.jpg,A man stands next to three video machines .
1169307342_e7a4685a5c.jpg,Two dogs running and playing rough in the grass .
1174525839_7c1e6cfa86.jpg,The girls is jumping into the air on the beach .
1174629344_a2e1a2bdbf.jpg,People in summer clothes are walking on the sidewalk of a large city .
1178705300_c224d9a4f1.jpg,A tan colored dog leaps into the inground pool .
1184967930_9e29ce380d.jpg,A dog walks through a field .
1191338263_a4fa073154.jpg,A woman sits in a subway station .
1193116658_c0161c35b5.jpg,There is a girl on a unicycle and a child on a scooter .
1197800988_7fb0ca4888.jpg,People eat under green trees .
1207159468_425b902bfb.jpg,a young man wearing a blue shirt with a strange white building in the background
1211015912_9f3ee3a995.jpg,Children at a park .
1215334959_b1970965f7.jpg,Taking a break while vacationing at the beach
121971540_0a986ee176.jpg,Two people stand on the side of a large white and red boat .
1225443522_1633e7121f.jpg,A woman walks down a city sidewalk at night .
1227655020_b11a1bb112.jpg,Two dogs wrestle together in the long grass .
1231229740_8dcbf80bfb.jpg,a young baby sucking a Binky asleep in a chair .
1232148178_4f45cc3284.jpg,There is a little blond hair girl with a green sweatshirt and a red shirt playing on a playground .
1234293791_6566284bcd.jpg,The little girl is riding in a brown horse .
1234817607_924893f6e1.jpg,Vendor selling drinks in a stall .
1235681222_819231767a.jpg,Three people sit waiting in a lobby .
1236964638_1808784a3c.jpg,A child jumping into a swimming pool from the diving board .
1237985362_dbafc59280.jpg,There is a woman holding her baby daughter while the daughter claps .
123889082_d3751e0350.jpg,Two dogs are playing together on green grass .
1240297429_c36ae0c58f.jpg,The dog in a vest leaps in the air and there is a bird flying .
1244485675_822e6efe60.jpg,The young asian boy looks at his reflection in the park .
1247181182_35cabd76f3.jpg,The man is sitting at the top of a rocky mountain .
124881487_36e668145d.jpg,The mountain biker in blue rides down a rocky path .
1248940539_46d33ed487.jpg,Three young girls dance on the beach in the sand .
124972799_de706b6d0b.jpg,Black and brown dog growling at brown cat hiding under wooden bench .
1251558317_4ef844b775.jpg,A woman and little boy sits on a police motorcycle .
1252787177_4b08625897.jpg,Three pairs of women 's underwear are hanging on a wire under an awning .
1253264731_e7c689eca5.jpg,Two children are standing on a green metal fence .
1255504166_f2437febcb.jpg,A young boy plays in the water with the mountains in the background .
1258913059_07c613f7ff.jpg,Three people sit at a picnic table outside of a building painted like a union jack .
1262077938_8b9516c273.jpg,A young woman with a black purse sits on a wooden bench .
1262454669_f1caafec2d.jpg,Woman sitting on bench and holding the leash of a large white and brown dog .
1267711451_e2a754b4f8.jpg,A dog trots across the ground with a large stick in his mouth .
1271210445_7f7ecf3791.jpg,Smiling children gathered around a birthday cake
1271960365_e54033f883.jpg,Two dogs are playing on a hardscape .
127450902_533ceeddfc.jpg,The sun is almost behind the snowy mountains .
127488876_f2d2a89588.jpg,Two men looking into the distance on a golf course .
1277185009_06478dd457.jpg,A topless person with a backpack is shown against on a pile of rocks with a cloudy background .
1277743944_f4e8c78403.jpg,A boy wearing a red sweater runs along a colorful beach .
1280147517_98767ca3b3.jpg,The waterskier does a flip behind a boat .
1282392036_5a0328eb86.jpg,Two women crouch near a small child at a medieval fair .
1285874746_486731a954.jpg,A woman in a blue dress stands in a crowd .
1287073593_f3d2a62455.jpg,The man is mushing his dogs on a snow trail
128912885_8350d277a4.jpg,The dog is playing with a red ball .
1290894194_8a4ffdc7eb.jpg,a woman with a brown dog is talking to a toddler who is sat on the ground .
1295669416_21cabf594d.jpg,A woman in semi-formal attire is sitting on a concrete wall .
1295671216_cde1b9c9d1.jpg,A person in jeans and a blue sweatshirt aims a camera while standing near a crowd of people .
1295698260_e10c53c137.jpg,The woman in glasses is holding a red and white sale bag .
129599450_cab4e77343.jpg,A person hikes on a mountain .
1296412797_85b6d2f8d6.jpg,The little girl is being swung around by her arms .
1298295313_db1f4c6522.jpg,A boy is holding his nose and jumping off a diving board backwards into a lake .
1299459550_1fd5594fa2.jpg,The boy in swim trunks is laying face down on a watery pavement .
1299459562_ed0e064aee.jpg,Three shirtless boys are playing in the water .
1301140633_046e4e8010.jpg,The boy has blonde hair and a dirty face .
130211457_be3f6b335d.jpg,Two woman posing with a guy .
1302657647_46b36c0d66.jpg,A man swinging on the monkey bars
1303335399_b3facd47ab.jpg,The small boy is sliding down a pool slide and is about to hit the water .
1303550623_cb43ac044a.jpg,Girl is standing out on the train tracks .
1304100320_c8990a1539.jpg,Two gray dogs run through a field of pink heather .
1304961697_76b86b0c18.jpg,Two young kids wakeboarding with one hand each in the air .
1306145560_1e37081b91.jpg,The dog is swimming with the ball .
1308617539_54e1a3dfbe.jpg,The little boy runs into the ocean .
1311388430_4ab0cd1a1f.jpg,Someone is suspended from electrical wires .
1312020846_5abb4a9be2.jpg,two small tan puppies walking on a stone path
1312227131_771b5ed201.jpg,Two dogs walk through the snow .
1312954382_cf6d70d63a.jpg,The girl is wearing a green dress and holding a hello kitty balloon .
1316247213_1d2c726dd5.jpg,The little girl smiles at the camera with her eyes closed .
131632409_4de0d4e710.jpg,Young woman in a bikini top on the beach .
1317292658_ba29330a0b.jpg,A boy wearing black swimming trunks is standing in a fountain .
1329832826_432538d331.jpg,This is a picture of a Broadway Rite Aid Pharmacy that has a bright neon sign and people are prepared to cross the street in front of it .
1332208215_fa824f6659.jpg,Two men and one woman are sitting in a subway train .
1332492622_8c66992b62.jpg,People walking in brightly-colored building .
1332815795_8eea44375e.jpg,a young baby girl wearing a white outfit swinging in a baby swing
1337792872_d01a390b33.jpg,The little girl is wearing a denim dress and holding a brown teddy bear .
1339596997_8ac29c1841.jpg,Three women with head scarves and long skirts .
1341787777_4f1ebb1793.jpg,A large brown dog is sticking his face in the sprinkler .
1346051107_9cdc14e070.jpg,The man is standing next to a fire hydrant and playing a saxophone .
134894450_dadea45d65.jpg,The boy is jumping in the woods .
1348957576_c4a78eb974.jpg,Two people sitting beside a few small boats .
1352398363_9cc8ffcce9.jpg,A young boy in a pullup is covered in marker ink .
1355450069_c0675b0706.jpg,There is a rock climber holding on and climbing to the top of a very large rock .
1355703632_5683a4b6fb.jpg,Young girl playing softball with white house in background
1355945307_f9e01a9a05.jpg,The red car has the number seven on the side in a white circle .
1357689954_72588dfdc4.jpg,Young boy in climbing harness scaling a climbing wall .
1357724865_4faf4e1418.jpg,The man stands in a body of water near a waterfall .
1359101233_16c2c150e3.jpg,The dog in the red vest runs in the field .
1361420539_e9599c60ae.jpg,The black dog is walking through the tall grass .
1363843090_9425d93064.jpg,A dog walking through a stream carrying a white towel in its mouth
1363924449_487f0733df.jpg,The blond boy wearing a striped shirt is walking through the grass .
136644343_0e2b423829.jpg,Young boy swinging on a tire swing .
136644885_f7d2bbf546.jpg,three people are crossing a rope bridge hung between pine trees .
1368383637_614646cc4a.jpg,Two people look over a terrace wall .
136886677_6026c622eb.jpg,Two paddlers propel a canoe down a tree-lined stream .
1370773415_967b1ffde1.jpg,Two people stand outside a restaurant in the city .
1377668044_36398401dd.jpg,The dog is jumping for the item the man is holding above his head .
1379026456_153fd8b51b.jpg,Man sitting with headphones at a laptop .
1383698008_8ac53ed7ec.jpg,The man is performing a trick on a snowboard high in the air .
